method,framework,layer_proc,auroc,fpr
ponderation_perturbations,far_ood,react,1.0,0.0
ponderation_perturbations,far_ood,ash,1.0,0.0
ponderation_perturbations,near_ood_HMDB,react,0.9984358415730965,0.0
ponderation_perturbations,near_ood_UCF,react,1.0,0.0
ponderation_perturbations,near_ood_EPIC,react,0.03165564224332881,1.0
ponderation_perturbations,near_ood_HMDB,ash,1.0,0.0
ponderation_perturbations,near_ood_UCF,ash,1.0,0.0
ponderation_perturbations,near_ood_EPIC,ash,0.9725746268656716,0.0
ponderation_perturbations,vfa,react,0.007247851650836731,1.0
ponderation_perturbations,vfa,ash,0.9878971619176843,0.0
