method,framework,layer_proc,auroc,fpr
ponderation_perturbations,far_ood,react,0.0,1.0
ponderation_perturbations,far_ood,ash,0.0,1.0
ponderation_perturbations,near_ood_HMDB,react,0.0024585451464536434,1.0
ponderation_perturbations,near_ood_UCF,react,0.0,1.0
ponderation_perturbations,near_ood_EPIC,react,0.9718212912709181,0.0708955223880597
ponderation_perturbations,near_ood_HMDB,ash,0.0,1.0
ponderation_perturbations,near_ood_UCF,ash,0.0,1.0
ponderation_perturbations,near_ood_EPIC,ash,0.007628052917232022,1.0
ponderation_perturbations,vfa,react,0.9926616915422886,0.024253731343283583
ponderation_perturbations,vfa,ash,0.0018600180913613748,1.0
