,method,dataset,layer_proc,fpr95,auroc,id_acc,exec_time
0,msp,UCF,none,4059.3,8800.0,8677.3,
1,msp,HAC,none,2862.0,9156.8,8677.3,
2,msp,EPIC,none,1345.5,9642.2,8677.3,
9,ebo,UCF,none,3705.8,8971.2,8677.3,
10,ebo,HAC,none,2303.3,9444.7,8677.3,
11,ebo,EPIC,none,718.4,9759.8,8677.3,
18,maxlogit,UCF,none,3705.8,8972.9,8677.3,
19,maxlogit,HAC,none,2314.7,9425.0,8677.3,
20,maxlogit,EPIC,none,707.0,9772.6,8677.3,
27,Mahalanobis,UCF,none,2770.8,9121.1,8677.3,
28,Mahalanobis,HAC,none,775.4,9821.8,8677.3,
29,Mahalanobis,EPIC,none,1242.9,9610.0,8677.3,
36,react,UCF,react,3728.6,8968.5,8654.5,0:00:00.391833
37,react,HAC,react,2086.7,9505.6,8654.5,0:00:00.553978
38,react,EPIC,react,718.4,9745.8,8654.5,0:00:01.281754
39,ash,UCF,ash,3876.9,8955.2,8620.3,0:00:00.530498
40,ash,HAC,ash,2348.9,9448.2,8620.3,0:00:00.626123
41,ash,EPIC,ash,695.6,9825.1,8620.3,0:00:00.932298
42,gen,UCF,none,3740.0,9123.5,8677.3,
43,gen,HAC,none,2428.7,9432.6,8677.3,
44,gen,EPIC,none,513.1,9902.4,8677.3,
51,knn,UCF,none,3318.1,9194.8,8677.3,
52,knn,HAC,none,1356.9,9724.8,8677.3,
53,knn,EPIC,none,558.7,9899.0,8677.3,
60,vim,UCF,none,2691.0,9227.4,8677.3,0:00:55.357998
61,vim,HAC,none,638.5,9856.3,8677.3,0:00:47.698387
62,vim,EPIC,none,558.7,9806.2,8677.3,0:00:49.830122
