method,dataset,layer_proc,fpr95,auroc,id_acc,exec_time
msp,UCF,none,40.593,88.0,86.773,
msp,HAC,none,28.62,91.568,86.773,
msp,EPIC,none,13.455,96.422,86.773,
msp,UCF,ash,41.505,86.432,86.203,0:00:00.027182
msp,HAC,ash,28.734,90.328,86.203,0:00:00.042857
msp,EPIC,ash,16.99,94.317,86.203,0:00:00.048858
msp,UCF,react,42.075,88.007,86.545,0:00:00.026686
msp,HAC,react,27.48,92.356,86.545,0:00:00.038256
msp,EPIC,react,12.999,96.594,86.545,0:00:00.048826
ebo,UCF,none,37.058,89.712,86.773,
ebo,HAC,none,23.033,94.447,86.773,
ebo,EPIC,none,7.184,97.598,86.773,
ebo,UCF,ash,38.769,89.552,86.203,0:00:00.029635
ebo,HAC,ash,23.489,94.482,86.203,0:00:00.045603
ebo,EPIC,ash,6.956,98.251,86.203,0:00:00.057502
ebo,UCF,react,37.286,89.685,86.545,0:00:00.030012
ebo,HAC,react,20.867,95.056,86.545,0:00:00.049764
ebo,EPIC,react,7.184,97.458,86.545,0:00:00.057247
maxlogit,UCF,none,37.058,89.729,86.773,
maxlogit,HAC,none,23.147,94.25,86.773,
maxlogit,EPIC,none,7.07,97.726,86.773,
maxlogit,UCF,ash,38.769,89.498,86.203,0:00:00.060326
maxlogit,HAC,ash,23.603,94.348,86.203,0:00:00.048829
maxlogit,EPIC,ash,7.298,98.1,86.203,0:00:00.061580
maxlogit,UCF,react,37.4,89.697,86.545,0:00:00.041670
maxlogit,HAC,react,21.209,94.891,86.545,0:00:00.049584
maxlogit,EPIC,react,7.412,97.694,86.545,0:00:00.077218
Mahalanobis,UCF,none,27.708,91.211,86.773,
Mahalanobis,HAC,none,7.754,98.218,86.773,
Mahalanobis,EPIC,none,12.429,96.1,86.773,
Mahalanobis,UCF,ash,48.347,80.854,86.203,0:00:43.473811
Mahalanobis,HAC,ash,30.787,91.22,86.203,0:01:22.594077
Mahalanobis,EPIC,ash,40.137,83.468,86.203,0:01:58.292438
Mahalanobis,UCF,react,28.62,89.717,86.545,0:00:41.391626
Mahalanobis,HAC,react,12.315,96.515,86.545,0:01:19.166278
Mahalanobis,EPIC,react,19.156,91.666,86.545,0:01:59.598111
react,UCF,react,37.286,89.685,86.545,0:00:00.391833
react,HAC,react,20.867,95.056,86.545,0:00:00.553978
react,EPIC,react,7.184,97.458,86.545,0:00:01.281754
ash,UCF,ash,38.769,89.552,86.203,0:00:00.530498
ash,HAC,ash,23.489,94.482,86.203,0:00:00.626123
ash,EPIC,ash,6.956,98.251,86.203,0:00:00.932298
gen,UCF,none,37.4,91.235,86.773,
gen,HAC,none,24.287,94.326,86.773,
gen,EPIC,none,5.131,99.024,86.773,
gen,UCF,ash,37.4,90.175,86.203,0:00:00.036858
gen,HAC,ash,25.884,94.077,86.203,0:00:00.098425
gen,EPIC,ash,6.499,98.478,86.203,0:00:00.076814
gen,UCF,react,35.348,91.702,86.545,0:00:00.037953
gen,HAC,react,20.753,95.64,86.545,0:00:00.059123
gen,EPIC,react,4.561,99.188,86.545,0:00:00.076305
knn,UCF,none,33.181,91.948,86.773,
knn,HAC,none,13.569,97.248,86.773,
knn,EPIC,none,5.587,98.99,86.773,
knn,UCF,ash,37.856,89.099,86.203,0:00:00.811443
knn,HAC,ash,22.349,94.196,86.203,0:00:01.145580
knn,EPIC,ash,12.999,97.186,86.203,0:00:01.416484
knn,UCF,react,32.611,92.139,86.545,0:00:00.648588
knn,HAC,react,15.165,97.042,86.545,0:00:01.120285
knn,EPIC,react,4.447,99.114,86.545,0:00:01.455680
vim,UCF,none,26.91,92.274,86.773,0:00:55.357998
vim,HAC,none,6.385,98.563,86.773,0:00:47.698387
vim,EPIC,none,5.587,98.062,86.773,0:00:49.830122
vim,UCF,ash,34.892,88.921,86.203,0:00:59.771790
vim,HAC,ash,14.481,96.614,86.203,0:00:48.589382
vim,EPIC,ash,10.376,96.863,86.203,0:00:49.204083
vim,UCF,react,29.19,91.534,86.545,0:00:45.662581
vim,HAC,react,9.122,98.18,86.545,0:00:47.869842
vim,EPIC,react,6.956,97.389,86.545,0:00:49.063331
