method,dataset,layer_proc,fpr95,auroc,id_acc,exec_time
Mahalanobis,UCF,none,0.27708095781071834,0.9121086875974299,0.8677309007981756,NA
Mahalanobis,HAC,none,0.07753705815279362,0.9821778892509856,0.8677309007981756,NA
Mahalanobis,EPIC,none,0.12428734321550741,0.9610027653014478,0.8677309007981756,NA
maxlogit,UCF,none,0.37058152793614596,0.8972862704850583,0.8677309007981756,NA
maxlogit,HAC,none,0.2314709236031927,0.9425028253331971,0.8677309007981756,NA
maxlogit,EPIC,none,0.07069555302166476,0.977256782573053,0.8677309007981756,NA
msp,UCF,none,0.40592930444697833,0.8800002025612179,0.8677309007981756,NA
msp,HAC,none,0.2862029646522235,0.9156794441538452,0.8677309007981756,NA
msp,EPIC,none,0.1345496009122007,0.9642231370967308,0.8677309007981756,NA
gen,UCF,none,0.37400228050171036,0.9123475410334168,0.8677309007981756,NA
gen,HAC,none,0.24287343215507412,0.9432613063072633,0.8677309007981756,NA
gen,EPIC,none,0.05131128848346636,0.9902429078433388,0.8677309007981756,NA
knn,UCF,none,0.33181299885974913,0.9194836039354267,0.8677309007981756,NA
knn,HAC,none,0.13568985176738882,0.9724771570419848,0.8677309007981756,NA
knn,EPIC,none,0.055872291904218926,0.9898982107823113,0.8677309007981756,NA
ebo,UCF,none,0.37058152793614596,0.8971200014854489,0.8677309007981756,NA
ebo,HAC,none,0.23033067274800456,0.9444720429443901,0.8677309007981756,NA
ebo,EPIC,none,0.07183580387685291,0.9759791210728236,0.8677309007981756,NA
ash,UCF,ash,0.38768529076396807,0.8955222998800669,0.8620296465222349,0:00:00.530498
ash,HAC,ash,0.2348916761687571,0.9448157032879088,0.8620296465222349,0:00:00.626123
ash,EPIC,ash,0.06955530216647662,0.9825081164746,0.8620296465222349,0:00:00.932298
react,UCF,react,0.3728620296465222,0.8968482318515698,0.8654503990877993,0:00:00.391833
react,HAC,react,0.20866590649942987,0.9505631611625365,0.8654503990877993,0:00:00.553978
react,EPIC,react,0.07183580387685291,0.9745787965777024,0.8654503990877993,0:00:01.281754
Mahalanobis,UCF,ash,0.48346636259977194,0.8085408249474396,0.8620296465222349,0:00:43.473811
Mahalanobis,HAC,ash,0.30786773090079816,0.9121976488776067,0.8620296465222349,0:01:22.594077
Mahalanobis,EPIC,ash,0.4013683010262258,0.8346786077375536,0.8620296465222349,0:01:58.292438
Mahalanobis,UCF,react,0.2862029646522235,0.8971714857949726,0.8654503990877993,0:00:41.391626
Mahalanobis,HAC,react,0.12314709236031927,0.9651540552763666,0.8654503990877993,0:01:19.166278
Mahalanobis,EPIC,react,0.19156214367160776,0.9166614971861248,0.8654503990877993,0:01:59.598111
maxlogit,UCF,ash,0.38768529076396807,0.8949821366326054,0.8620296465222349,0:00:00.060326
maxlogit,HAC,ash,0.23603192702394526,0.9434798459565276,0.8620296465222349,0:00:00.048829
maxlogit,EPIC,ash,0.07297605473204105,0.9809970675585171,0.8620296465222349,0:00:00.061580
maxlogit,UCF,react,0.37400228050171036,0.8969663925619519,0.8654503990877993,0:00:00.041670
maxlogit,HAC,react,0.2120866590649943,0.9489123099539751,0.8654503990877993,0:00:00.049584
maxlogit,EPIC,react,0.07411630558722919,0.9769445069333854,0.8654503990877993,0:00:00.077218
