backbone,method,dataset,layer_proc,fpr95,auroc,id_acc,exec_time
baseline,msp,UCF,none,0.4641,0.8607,0.8723,0:00:01.197565
baseline,msp,EPIC,none,0.1722,0.9575,0.8723,0:00:01.610910
baseline,msp,HAC,none,0.3979,0.8878,0.8723,0:00:01.324610
baseline,ebo,UCF,none,0.4470,0.8795,0.8723,0:00:00.185963
baseline,ebo,EPIC,none,0.0787,0.9764,0.8723,0:00:00.073448
baseline,ebo,HAC,none,0.3352,0.9225,0.8723,0:00:00.053895
baseline,maxlogit,UCF,none,0.4470,0.8795,0.8723,0:00:00.091071
baseline,maxlogit,EPIC,none,0.0924,0.9772,0.8723,0:00:00.058427
baseline,maxlogit,HAC,none,0.3330,0.9211,0.8723,0:00:00.045995
baseline,Mahalanobis,UCF,none,0.4196,0.8706,0.8723,0:00:42.395563
baseline,Mahalanobis,EPIC,none,0.1802,0.9346,0.8723,0:01:59.824416
baseline,Mahalanobis,HAC,none,0.1129,0.9727,0.8723,0:01:24.137221
baseline,react,UCF,react,0.4379,0.8809,0.8666,0:00:01.036437
baseline,react,EPIC,react,0.0741,0.9759,0.8666,0:00:00.089965
baseline,react,HAC,react,0.3056,0.9286,0.8666,0:00:00.077736
baseline,ash,UCF,ash,0.5393,0.8416,0.8666,0:00:00.370621
baseline,ash,EPIC,ash,0.2018,0.9593,0.8666,0:00:01.604875
baseline,ash,HAC,ash,0.4344,0.9020,0.8666,0:00:01.166745
baseline,gen,UCF,none,0.4561,0.8788,0.8723,0:00:00.059919
baseline,gen,EPIC,none,0.0844,0.9828,0.8723,0:00:00.100383
baseline,gen,HAC,none,0.3865,0.9125,0.8723,0:00:00.063879
baseline,knn,UCF,none,0.3763,0.8926,0.8723,0:00:00.796250
baseline,knn,EPIC,none,0.0992,0.9792,0.8723,0:00:01.573064
baseline,knn,HAC,none,0.2121,0.9603,0.8723,0:00:01.242955
baseline,vim,UCF,none,0.3330,0.9148,0.8723,0:00:48.875275
baseline,vim,EPIC,none,0.0559,0.9798,0.8723,0:00:49.202615
baseline,vim,HAC,none,0.1288,0.9710,0.8723,0:00:48.906520

