backbone,method,dataset,layer_proc,fpr95,auroc,id_acc,exec_time
baseline,msp,HMDB,none,0.449,0.876,0.895,0:00:00.041868
baseline,msp,EPIC,none,0.763,0.676,0.715,0:00:00.040002
baseline,msp,UCF,none,0.220,0.957,0.992,0:00:00.092747
baseline,ebo,HMDB,none,0.429,0.874,0.895,0:00:00.045753
baseline,ebo,EPIC,none,0.767,0.683,0.715,0:00:00.023854
baseline,ebo,UCF,none,0.224,0.961,0.992,0:00:00.076565
baseline,maxlogit,HMDB,none,0.429,0.877,0.895,0:00:00.047551
baseline,maxlogit,EPIC,none,0.769,0.683,0.715,0:00:00.027507
baseline,maxlogit,UCF,none,0.224,0.960,0.992,0:00:00.075806
baseline,Mahalanobis,HMDB,none,0.429,0.856,0.895,0:01:00.606494
baseline,Mahalanobis,EPIC,none,0.987,0.430,0.715,0:00:14.637048
baseline,Mahalanobis,UCF,none,0.121,0.971,0.992,0:03:47.041828
baseline,ash,HMDB,ash,0.529,0.871,0.898,0:00:00.681450
baseline,ash,EPIC,ash,0.769,0.679,0.701,0:00:00.032894
baseline,ash,UCF,ash,0.319,0.940,0.992,0:00:01.211529
baseline,react,HMDB,react,0.416,0.878,0.898,0:00:00.688132
baseline,react,EPIC,react,0.840,0.659,0.713,0:00:00.036433
baseline,react,UCF,react,0.254,0.959,0.992,0:00:01.223858
baseline,knn,HMDB,none,0.427,0.884,0.895,0:00:00.856326
baseline,knn,EPIC,none,0.782,0.631,0.715,0:00:00.428051
baseline,knn,UCF,none,0.156,0.969,0.992,0:00:02.345141
baseline,gen,HMDB,none,0.453,0.872,0.895,0:00:00.056877
baseline,gen,EPIC,none,0.769,0.685,0.715,0:00:00.029713
baseline,gen,UCF,none,0.248,0.954,0.992,0:00:00.117871
baseline,vim,HMDB,none,0.397,0.874,0.895,0:00:47.461580
baseline,vim,EPIC,none,0.771,0.656,0.715,0:00:42.920117
baseline,vim,UCF,none,0.125,0.977,0.992,0:00:50.230870
a2d_npmix,msp,HMDB,none,0.338,0.888,0.902,0:00:00.468904
a2d_npmix,msp,EPIC,none,0.672,0.715,0.716,0:00:00.334408
a2d_npmix,msp,UCF,none,0.080,0.982,0.997,0:00:01.241100
a2d_npmix,ebo,HMDB,none,0.359,0.889,0.902,0:00:00.050381
a2d_npmix,ebo,EPIC,none,0.679,0.738,0.716,0:00:00.026493
a2d_npmix,ebo,UCF,none,0.065,0.985,0.997,0:00:00.091150
a2d_npmix,maxlogit,HMDB,none,0.359,0.890,0.902,0:00:00.046023
a2d_npmix,maxlogit,EPIC,none,0.670,0.735,0.716,0:00:00.028106
a2d_npmix,maxlogit,UCF,none,0.065,0.985,0.997,0:00:00.075138
a2d_npmix,Mahalanobis,HMDB,none,0.410,0.878,0.902,0:00:55.594023
a2d_npmix,Mahalanobis,EPIC,none,0.948,0.444,0.716,0:00:14.297938
a2d_npmix,Mahalanobis,UCF,none,0.080,0.980,0.997,0:03:45.890798
a2d_npmix,ash,HMDB,ash,0.359,0.892,0.895,0:00:00.648849
a2d_npmix,ash,EPIC,ash,0.662,0.731,0.662,0:00:00.324819
a2d_npmix,ash,UCF,ash,0.107,0.978,0.998,0:00:01.230898
a2d_npmix,react,HMDB,react,0.383,0.887,0.908,0:00:00.674669
a2d_npmix,react,EPIC,react,0.666,0.731,0.724,0:00:00.031986
a2d_npmix,react,UCF,react,0.124,0.973,0.999,0:00:01.226943
a2d_npmix,knn,HMDB,none,0.336,0.900,0.902,0:00:00.725385
a2d_npmix,knn,EPIC,none,0.709,0.705,0.716,0:00:00.436248
a2d_npmix,knn,UCF,none,0.120,0.977,0.997,0:00:02.443197
a2d_npmix,gen,HMDB,none,0.364,0.898,0.902,0:00:00.055599
a2d_npmix,gen,EPIC,none,0.653,0.752,0.716,0:00:00.028973
a2d_npmix,gen,UCF,none,0.077,0.983,0.997,0:00:00.110526
a2d_npmix,vim,HMDB,none,0.362,0.888,0.902,0:00:43.358167
a2d_npmix,vim,EPIC,none,0.677,0.691,0.716,0:00:44.110210
a2d_npmix,vim,UCF,none,0.046,0.987,0.997,0:00:46.769270
